up_reach,dn_reach,region,up_boundary_node,dn_boundary_node,up_boundary_dist_out,dn_boundary_dist_out,boundary_gap
56360400073,56360400063,OC,56360400070013,56360400060263,3536070.7601705296,345727.9816558263,3190342.7785147033
56470000031,56470000231,OC,56470000030011,56470000230541,2814439.8003493184,21469.385185004838,2792970.4151643137
56470000011,56470000051,OC,56470000010011,56470000050451,2796137.186409602,118598.06833586899,2677539.118073733
28107000031,28107000231,EU,28107000030011,28107000230051,1713097.728402019,309126.3516820007,1403971.3767200182
45651000211,45642100181,AS,45651000210011,45642100180051,1402602.870690114,108273.78283194691,1294329.0878581672
45642100011,45641000071,AS,45642100010011,45641000070011,1216997.2031731296,88475.51190989076,1128521.691263239
56861000121,56861000251,OC,56861000120011,56861000250581,736722.3405738061,38228.26381804285,698494.0767557633
16270700111,16270700141,AF,16270700110011,16270700140271,688187.3922006045,141254.7072224677,546932.6849781368
62297300291,62297300281,SA,62297300290011,62297300280971,3254982.6210788046,2783932.9298476353,471049.6912311693
43306700023,43306701023,AS,43306700020013,43306701020583,589628.2819793611,176215.28600609596,413412.99597326515
43421000481,43421001411,AS,43421000480011,43421001410031,483979.72194581846,72793.71484474845,411186.00710107
62294101341,62294101331,SA,62294101340011,62294101330551,3051745.3897450594,2648192.333468031,403553.0562770283
23250600711,23250601421,EU,23250600710011,23250601420551,565017.4064770666,182697.6707187472,382319.7357583194
23250800011,23250600211,EU,23250800010011,23250600210461,606818.8282058382,227639.488936317,379179.3392695212
23250600661,23250601411,EU,23250600660011,23250601410941,553656.3648094821,179229.7356458766,374426.6291636055
43421001421,43421001321,AS,43421001420011,43421001320601,520895.99660824076,154994.25607985945,365901.7405283813
31231000221,31210900071,AS,31231000220011,31210900070881,380045.1817001087,17851.675116866667,362193.50658324204
45342000331,45342000301,AS,45342000330011,45342000300681,838609.6721560458,491871.8927547452,346737.7794013006
43421000471,43421001471,AS,43421000470011,43421001470191,483399.45216427627,167873.4142228963,315526.03794137994
23250600601,23250600591,EU,23250600600011,23250600590251,506994.9242735902,197760.62702801236,309234.29724557785
74221000011,74221000045,NA,74221000010011,74221000040515,541826.7286512329,255709.37688101133,286117.3517702216
62295800041,62295800031,SA,62295800040011,62295800030661,2760001.542578185,2492348.737917215,267652.8046609699
62294100201,62294100191,SA,62294100200011,62294100190961,2691439.405684996,2427126.789761942,264312.61592305405
62294102441,62294102411,SA,62294102440011,62294102410871,2636793.3735532593,2373472.561882071,263320.8116711881
35126000691,35126000681,AS,35126000690011,35126000680751,1342795.0274263716,1086792.970249423,256002.05717694853
43421001561,43421001164,AS,43421001560011,43421001160034,454822.418011624,201330.5016312494,253491.9163803746
62294100241,62294102461,SA,62294100240011,62294102460621,2731756.5001852694,2501524.3530937894,230232.14709147997
74210000331,74300400575,NA,74210000330011,74300400570575,390612.7152035014,166095.31582103742,224517.39938246398
23261001614,23261000611,EU,23261001610014,23261000610191,280548.98884961696,57942.480215214164,222606.5086344028
23261000621,23261000611,EU,23261000620011,23261000610191,280522.95804470667,57942.480215214164,222580.4778294925
49160100191,49160100171,AS,49160100190011,49160100170251,376986.83446635655,155276.54522365908,221710.28924269747
28370200583,28370200573,EU,28370200580013,28370200570023,3375701.7146191755,3158677.467884804,217024.2467343714
74210000301,74300400565,NA,74210000300011,74300400560615,358645.12762949214,148746.72161054198,209898.40601895016
31210300685,31210300505,AS,31210300680015,31210300500885,214810.16829622735,17695.824330560747,197114.3439656666
51130500015,51130300025,OC,51130500010015,51130300020105,258436.07419120675,64317.285023301214,194118.78916790552
34213000071,34213000061,AS,34213000070011,34213000060421,893043.2391232859,707083.5983793562,185959.64074392966
23250801221,23250801231,EU,23250801220011,23250801230091,501243.32583669596,323535.5809201904,177707.7449165056
23261000481,23270200181,EU,23261000480011,23270200180731,328804.9914293447,152344.97530687385,176460.01612247084
24241000015,24230000045,EU,24241000010015,24230000040535,207910.87487889585,31787.81024589703,176123.0646329988
51130500045,51130000165,OC,51130500040015,51130000160765,208270.86535149714,37467.36907871089,170803.49627278623
85202000241,85202000733,NA,85202000240011,85202000730643,343905.34383106604,173181.655928223,170723.68790284306
62293800031,62293800021,SA,62293800030011,62293800020531,2290318.3309352603,2121737.1274103224,168581.20352493785
23261000065,23261001595,EU,23261000060015,23261001590945,201772.24366249747,35257.96069426244,166514.28296823503
48305600181,48305600291,AS,48305600180011,48305600290721,196194.31907052043,36037.12914365229,160157.18992686813
62293800761,62293800751,SA,62293800760011,62293800750901,2235098.90982619,2083510.7389070527,151588.17091913754
67206000835,67206000885,SA,67206000830015,67206000880575,159352.7447941726,11555.817689836282,147796.92710433633
23270100265,23270100625,EU,23270100260015,23270100620575,166129.63356709408,23808.26877351619,142321.36479357787
67207000035,67207000135,SA,67207000030015,67207000130975,158167.39291079098,19519.965982540285,138647.4269282507
52402800331,52402800721,OC,52402800330011,52402800720011,330580.67897631845,195343.37906772684,135237.2999085916
45241400011,45312001245,AS,45241400010011,45312001240505,690395.4497124393,556004.6492630668,134390.8004493725
67207000035,67207000095,SA,67207000030015,67207000090185,158167.39291079098,26365.532731140178,131801.8601796508
33164900511,33164901011,AS,33164900510011,33164901010551,1123707.608131945,992338.2662127321,131369.34191921283
43429300041,43429300034,AS,43429300040011,43429300030064,1010948.5181113896,886338.3689710669,124610.1491403227
14277800201,14277800191,AF,14277800200011,14277800190551,2924059.527603604,2801930.790013018,122128.73759058584
23261000111,23261001751,EU,23261000110011,23261001750091,230785.68767458654,110776.13612617104,120009.5515484155
28314000041,28314000034,EU,28314000040011,28314000030024,1388044.9275235503,1268506.5203026312,119538.40722091915
44581100075,44581100575,AS,44581100070015,44581100570405,424898.0858251145,305982.2997367582,118915.78608835628
51150100015,51150100115,OC,51150100010015,51150100110545,140404.82967278748,21705.7334277314,118699.09624505608
43496200271,43496200264,AS,43496200270011,43496200260014,3350506.2456921465,3232533.328894823,117972.91679732362
23250801001,23250801015,EU,23250801000011,23250801010565,254047.85850419066,136162.07767804133,117885.78082614933
44581100365,44581100455,AS,44581100360015,44581100450515,265840.7878219077,148602.7846270253,117238.00319488242
23261000095,23261000505,EU,23261000090015,23261000500215,215109.89082367677,98349.59995685825,116760.29086681853
43496200281,43496203131,AS,43496200280011,43496203130061,3350920.403475511,3236114.388192898,114806.01528261276
23261000281,23261001301,EU,23261000280011,23261001300131,426465.2524823828,312700.13884932105,113765.11363306176
23250800221,23250801021,EU,23250800220011,23250801020091,680963.6995094839,568008.9426904892,112954.75681899465
45252000281,45252000271,AS,45252000280011,45252000270551,872245.3085219547,759510.8446004776,112734.46392147709
17300000235,17300000655,AF,17300000230015,17300000650705,186787.86552148883,75094.82382435846,111693.04169713036
62294102221,62294102331,SA,62294102220011,62294102330721,2484633.965479082,2373496.3929747534,111137.57250432856
14279000321,14279001411,AF,14279000320011,14279001410661,3073960.840386351,2963064.4713884494,110896.36899790168
43491100221,43491100211,AS,43491100220011,43491100210461,1702439.5410614864,1595299.576139847,107139.9649216393
14279000341,14279001511,AF,14279000340011,14279001510561,3095632.230692648,2988725.3586604297,106906.87203221815
35121400045,35121400035,AS,35121400040015,35121400030495,319553.7947992733,212696.0789731104,106857.71582616292
23270100135,23270100575,EU,23270100130015,23270100570065,117061.41481570978,11029.037750767282,106032.3770649425
51130700075,51130000155,OC,51130700070015,51130000150565,116385.0217328675,11327.249457569926,105057.77227529758
72230000195,72230000375,NA,72230000190015,72230000370665,132688.83008280664,30686.841404677114,102001.98867812954
35132000065,35132000055,AS,35132000060015,35132000050665,153574.1471448004,53494.92520238983,100079.22194241057
